C1,C2,O,H1,H2,H3,H4,H5,H6
[-1.60259987  0.31792139 -0.270349  ],[-0.11408646  0.14655772  1.23103343],[-0.42787799  2.01332556 -0.34818992],[-0.34477412  0.17206498 -0.25056382],[ 1.95284885 -1.22343441 -1.08173644],[0.52831571 1.24998275 1.08907456],[-0.26180169 -1.28286959 -1.15742884],[ 0.62041255 -0.31820771  0.17119615],[-0.39609749 -1.05937399  0.55263291]
[-1.04347417  0.46303799 -0.60509261],[-0.2923372   0.45000446  1.24011972],[ 0.52041302  2.74576988 -1.23874115],[-0.33640028  0.27754665 -0.28592541],[ 1.58725192 -1.00186338 -0.84460488],[0.47265766 1.05662437 0.92065926],[-0.42005809 -1.38364715 -1.22440677],[ 0.72861305 -0.53296101  0.57200313],[-1.23681955 -2.07614489  1.42725425]
[-0.98718341 -1.35226288 -0.17498105],[-0.80048109  0.98510641 -0.12791244],[-0.63061236  1.27240533 -0.04673746],[-1.00041817  0.7189344  -1.25492821],[ 1.5667266  -0.964778   -0.90525657],[0.91732662 2.05457507 1.76415642],[-0.36507559 -1.17338777 -1.12692948],[ 1.47784014 -0.94284413  1.45904372],[-0.22028193 -0.60419552  0.30645492]
[ 0.47298859 -0.00510247  0.24071787],[-0.73936908  0.62289177  0.24817042],[-0.63188247  1.4623903   0.10405801],[-1.02147255  0.63465886 -1.21543844],[ 0.97394169 -0.66207229 -0.54930598],[0.27513539 0.69632634 0.7262905 ],[-0.30462834 -1.2787422  -1.19764987],[ 1.2243767  -0.78481184  1.18541569],[-0.336124   -0.69251143  0.39808593]
[0.1893724  0.51092238 0.35958814],[-1.15864885  1.36156622  0.39591127],[ 0.0971746   2.02829547 -0.50290211],[-0.615676    0.30879474 -0.8275704 ],[ 0.91884214 -0.55372836 -0.57202206],[0.19181601 0.31270899 0.43084906],[-0.50153421 -1.66489995 -1.49807126],[ 1.47889209 -0.96854623  1.42201256],[-0.64044375 -1.32629157  0.71067474]
[ 0.90633994 -0.16833885  1.31641419],[-0.68817437  1.07088033  0.53508565],[-0.44837637  1.12094183  0.08000878],[-1.57889142  0.99451422 -1.89124771],[ 1.07697757 -0.6608547  -0.58102051],[0.2160148  0.35768908 0.51625137],[-0.36253387 -1.47081273 -1.25626007],[ 1.01315885 -0.71414521  0.93667077],[-0.19575094 -0.53772038  0.25942148]
[-0.38626414 -0.74135441 -0.74547689],[0.38973885 0.77982972 1.90614375],[-0.28617924  1.16721919 -0.00383581],[-0.66725394  0.30773542 -0.69192519],[ 0.84309834 -0.56223374 -0.42019724],[0.70346527 1.42344095 1.33418581],[-0.39509187 -1.74264359 -1.4065363 ],[-0.03825704 -0.04933809 -0.27986198],[-0.1750535  -0.58499651  0.23804508]
[-1.10788524  0.47333806  1.32497196],[0.28520015 0.58864168 0.60063656],[-0.59906209  2.11743947 -0.10613938],[-1.03652307  0.42454362 -1.17653912],[ 2.18858505 -1.35669025 -1.22676694],[0.3918587  0.65747546 0.86895028],[-0.40595711 -1.49364445 -1.24887732],[ 0.64961354 -0.31254455  0.38376751],[-0.41520668 -1.07269688  0.54297212]
[-0.65186876  0.39074102 -0.26578412],[-0.67169914 -0.63625136  1.66713338],[ 0.19634617  2.39415431 -0.73427996],[-0.55586635  0.25952826 -0.83110335],[ 1.51459113 -0.74220909 -0.9055757 ],[0.634896   0.93085128 0.99063542],[-0.12273547 -0.88192611 -0.9554599 ],[ 0.44178164 -0.13089524  0.04711258],[-0.84063727 -1.60407825  0.92120977]
[-0.77919786  0.39892837  0.09868359],[-1.75211323 -0.16441118 -0.36589804],[ 0.42287401  2.38540348 -0.64087444],[-0.83348128  0.5154005  -0.74842469],[ 1.840191   -1.10269581 -0.8962244 ],[0.45989102 0.91044448 0.80869681],[ 0.18305844 -0.50441233 -0.61404949],[ 1.22069372 -0.80264077  1.31450592],[-0.8124326  -1.62016106  1.0178114 ]
[-0.07459008 -0.57770412 -0.77641607],[-0.33212257 -1.46620245 -0.10965941],[-0.37787642  2.25600937 -0.24873246],[-0.26698069  0.20629649 -0.52696562],[ 0.20403067 -0.09871911 -0.12151809],[0.60772936 1.08557193 0.93082437],[ 0.21490329 -0.04491981 -0.22044985],[ 0.47885746 -0.13699139  0.32121418],[-0.51142986 -1.20247963  0.70020064]
[ 0.52044018 -0.21469172 -0.02321829],[-0.93277995  0.75813098  0.55848613],[-0.4298026   1.48437505 -0.24201785],[-0.71710277  0.55325048 -1.12796084],[ 0.39385098 -0.28364684 -0.33723878],[0.26414021 0.54014771 0.63806518],[-0.29475757 -1.20336697 -1.24238666],[ 1.38958419 -0.86246033  1.33260806],[-0.26127939 -0.76180003  0.38147109]
[-1.91210872  0.72940728 -0.49745347],[ 0.20122483 -0.28828255  1.48419938],[-0.74355419  1.79541822 -0.06862062],[-0.00981461 -0.09068555  0.21370048],[ 1.9442414  -1.24891651 -1.07105995],[0.42900673 1.06164028 0.92464219],[-0.15709998 -1.10037678 -1.01436013],[ 0.33152391 -0.11842056 -0.27756295],[-0.11731292 -0.73952991  0.27322541]
[-1.14283316  0.92831199 -1.0261244 ],[0.00358969 0.10662955 1.52228212],[ 0.4966844   2.68374319 -1.23602607],[0.02614122 0.07631739 0.17018058],[ 1.43821913 -0.93097426 -0.74216945],[0.35342981 0.80481572 0.69783795],[-0.3845818  -1.23625397 -1.083897  ],[ 0.40679674 -0.38745005  0.26467044],[-1.20578708 -2.04303099  1.3995891 ]
[0.42732082 1.00718512 0.29388077],[-1.19525403  1.34165027  0.3934854 ],[-0.03899444  1.74058101 -0.27789008],[-0.32542379  0.04640549 -0.53035728],[ 0.54622567 -0.33314563 -0.42517266],[ 0.00794382 -0.17169904  0.08606889],[-0.48845304 -1.61544978 -1.4696217 ],[ 1.43408704 -0.94847258  1.38371126],[-0.42264066 -1.05644208  0.48226399]
[-1.16756297 -1.51909111 -0.44653244],[-0.64424303  0.83421072 -0.32261158],[-0.96605758  0.76886419  0.28850311],[-0.81563046  0.64255888 -1.08881106],[ 1.42455013 -0.88361837 -0.8532428 ],[0.95869485 2.15572946 1.84519729],[-0.31630177 -0.94518614 -0.96269232],[ 1.4315112  -0.91504074  1.43955779],[ 0.06232817 -0.13170953 -0.02064518]
[-1.07538861  0.86075674  1.32842811],[0.63749649 0.22818474 0.4977889 ],[-0.9773106   1.90601077  0.2323871 ],[-0.85240999  0.20269127 -0.93880582],[ 2.02417404 -1.26819473 -1.15040851],[0.25864112 0.30147248 0.68254594],[-0.32391225 -1.30230095 -1.03325313],[ 0.39746001 -0.11378293  0.09682119],[-0.13528252 -0.75225751  0.26711753]
[0.85090956 0.35316544 0.0698194 ],[-0.57707467  0.31681276  0.1918445 ],[-1.00438445  1.00627916  0.51005023],[-0.86167795  0.51462421 -1.01606307],[ 0.63247255 -0.4888789  -0.38003367],[0.08382118 0.31817864 0.46501993],[-0.21222844 -1.09059089 -1.06080474],[ 1.06734467 -0.69767469  1.07412244],[-0.07669807 -0.21517963  0.10841864]
[-0.27223776 -0.54001937 -1.03751859],[0.63392165 0.57761511 2.05210949],[-0.47450044  0.73448531  0.29386041],[-0.4451866   0.10767256 -0.39095911],[ 0.51177381 -0.37375896 -0.22276176],[0.6131805  1.18242689 1.16974492],[-0.28542914 -1.58857989 -1.23819806],[-0.42149424  0.11676929 -0.63779439],[ 0.08673321 -0.18154211 -0.03801932]
[-0.02826924 -0.35237091 -0.98228208],[-0.04891896 -2.17520671 -0.23381919],[-0.70501398  2.03817601  0.09913097],[ 0.08683387  0.01470456 -0.23911246],[-0.18452442  0.1535764   0.09579315],[0.53291667 0.80018122 0.68134013],[0.36747486 0.32875134 0.0542068 ],[0.19606813 0.13144641 0.03987182],[-0.24210012 -0.88762859  0.43719846]
[1.38906296 0.08208214 1.52033349],[-0.53438961  0.97890793  0.56754482],[-0.70617478  0.54742292  0.45125746],[-1.59943618  1.00109872 -1.94544511],[ 0.7721871  -0.47667204 -0.41809919],[ 0.0318272  -0.11848294  0.19832043],[-0.29187545 -1.35840876 -1.1273543 ],[ 0.7676869  -0.61302735  0.73339717],[ 0.10660477 -0.0189222  -0.05890627]
[-0.56542044  0.79307309 -0.52592948],[-0.64959835 -1.23152081  1.92543833],[-0.02350593  2.11440528 -0.49051787],[-0.26751112  0.03805286 -0.58273299],[ 1.27235683 -0.54305571 -0.78695148],[0.57727016 0.61721021 0.78569026],[ 0.01285875 -0.5766101  -0.75988004],[ 0.18073089  0.08208543 -0.29171299],[-0.58948567 -1.31044318  0.66472038]
[-0.66697915  0.74348163 -0.15335179],[-1.82873504 -0.65440365 -0.43642292],[ 0.25641597  2.11061622 -0.36311792],[-0.63290591  0.37538931 -0.43853835],[ 1.63939909 -0.98896612 -0.74114089],[0.34530857 0.62564604 0.56105525],[ 0.39782625 -0.18534135 -0.3761214 ],[ 0.99700845 -0.66964631  1.14277607],[-0.56387814 -1.33886179  0.76995374]
[-1.9412608   1.07505857 -0.70429046],[ 0.44336872 -0.75521594  1.62876261],[-1.06044483  1.54278394  0.23784796],[ 0.28123926 -0.31473669  0.60604278],[ 1.73926865 -1.16286978 -0.95955062],[0.29460154 0.79894277 0.68444384],[-0.02140688 -0.83092982 -0.8126964 ],[ 0.08117722  0.05440962 -0.66926004],[ 0.17292153 -0.40331462 -0.04589019]
[-1.0576347   1.32151548 -1.42577425],[ 0.26579298 -0.32336781  1.69558017],[ 0.29232237  2.37960745 -1.02669353],[ 0.34447325 -0.08462552  0.55873128],[ 1.17573895 -0.77958886 -0.55545844],[0.20966877 0.50686957 0.42671209],[-0.31754664 -0.99546201 -0.86467635],[ 0.08952273 -0.25542298 -0.0291309 ],[-0.99374236 -1.76004119  1.17196958]
